Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.41838264465332,43.77754211425781,27.47587776184082,72.88148498535156,17.557865142822266,23.173349380493164,6.433078190699774,43.94118119781991,28.058466020051487,73.16761808052445,17.61327224368511,23.28565934758386,6.369497330115575,42.70219404467851,27.30452933150054,72.00107681289298,17.51477099197951,22.903804316996524,6.400987843132776,43.419093748582625,27.844279256539643,72.1826589126243,17.59480281865498,22.92626688165415,493729600,6186700,13700400,6438444,13870400,38409100
2010-01-05,6.429479122161865,45.21134948730469,27.407339096069336,72.00108337402344,17.34547233581543,23.18083381652832,6.465768308971739,45.41394988179292,27.55298616611253,72.5513407275717,17.542476030161755,23.28565768267033,6.395588872955332,43.63728975031879,27.158883290769406,71.58839035886224,17.280831104069172,22.941238856372774,6.4360773017358675,43.83209907956129,27.475878797612285,72.45779416707566,17.499380701436607,23.098473941536483,601904800,8867800,10307700,7156104,23172400,49749600
2010-01-06,6.327211856842041,46.58279800415039,27.261690139770508,71.53333282470703,17.33930778503418,23.038578033447266,6.454973846527886,46.7464400722681,27.415904866100767,72.35321627839535,17.37316662105797,23.270685501116755,6.320613675061903,45.10224913503642,27.141746078898205,71.4287862561677,17.23157128203371,22.851394269304404,6.429481271891964,45.374980960976,27.33022983657115,71.90750573123712,17.345463083055222,23.12093791856295,552160000,8836500,10709500,5863144,19264600,58182400
2010-01-07,6.315513610839844,48.46855545043945,27.270259857177734,71.28575134277344,17.296222686767578,22.798982620239258,6.358101467426172,48.55427201984476,27.295962858204366,71.67092885968455,17.35162979547191,22.98616638090428,6.269627464769028,45.99058086469537,27.02180405038185,70.93358715963804,17.160783740061266,22.604311337775783,6.350603534853995,46.37240543606838,27.21885548923986,71.4618312387217,17.339318017936943,22.933753728315114,477131200,14379100,8202100,6109268,13234600,50559700
2010-01-08,6.357501029968262,48.001007080078125,27.31309700012207,72.00108337402344,16.976097106933594,22.95621681213379,6.3581012649785595,48.141270004383045,27.364503003007258,72.03959892967808,17.126926682407642,23.12093801112338,6.26992798327909,47.42437325576128,27.013236820535596,71.01062189413209,16.852969916392073,22.64174802999091,6.307116125958441,47.954254753679024,27.124613225222657,71.02162633860483,17.071519564086753,22.671698117861087,447610800,7146600,7657500,4390271,28712400,51197400
2010-01-11,6.301421165466309,47.43217849731445,26.86758804321289,71.24722290039062,17.320844650268555,22.66421127319336,6.388094897385915,48.38284905231294,27.193151203593494,72.11662661435551,17.37625174636927,23.031091291974136,6.251635674546586,47.1516525648523,26.636265947247157,70.80151660012837,16.86835375685519,22.5519012965215,6.382096548980215,48.273756294700924,27.013235107252576,72.11662661435551,16.97609029892989,22.993653681017626,462229600,5624900,11250500,5993998,28642400,68754700
2010-01-12,6.229737758636475,47.08930969238281,26.404943466186523,71.81398010253906,17.508621215820312,22.51445770263672,6.291219990021111,47.68932276264263,26.661968558216163,72.26519297322687,17.545558905785494,22.761540156895343,6.190749719955273,46.68410594470524,26.284999403708536,70.98309201822818,17.256211514973568,22.3946602356082,6.273824390234454,46.808783792255696,26.576293527539615,70.99960307283277,17.265445643907864,22.57435643615098,594459600,5273800,14618300,8453249,23269800,65912100
2010-01-13,6.3176140785217285,47.65816116333008,26.807615280151367,71.65992736816406,17.554784774780273,22.724098205566406,6.326011764393709,48.078950089503316,26.87615497700031,72.14965591135753,17.67791191570066,22.851383160429737,6.121173418096044,47.02697777407022,26.4477814631656,71.071154428323,17.450127057266176,22.469528295839748,6.2342398574729865,47.22958117077062,26.464915161791385,71.74796731976627,17.502456503136944,22.656711968985935,605892000,4950400,9620600,6752348,15157400,51863500
